Країна,Розділ,Розділ (скор.),Рік,Експорт (тис. дол. США)
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2016,11505.5
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2017,14973.800000000001
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2018,23818.2
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2019,46793.3
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2020,17657.7
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2021,101023.40000000001
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2022,31112.0
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2023,1180.9
Єгипет,Розділ V Мінеральні продукти,V. Мінеральні продукти,2024,38935.9
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2016,513.2
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2017,694.9000000000001
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2018,1150.9
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2019,3318.1000000000004
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2020,3297.5
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2021,2994.3
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2022,2912.3
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2023,2049.2
Єгипет,Розділ VІ Продукція хімічної та пов'язаних з нею галузей промисловості,VI. Хімічна продукція,2024,2206.6
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2016,1063.7
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2017,506.9
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2018,447.6
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2019,652.5
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2020,1292.5
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2021,4836.2
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2022,5856.7
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2023,66.7
Єгипет,"Розділ VІІ Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них","VII. Пластмаси, каучук",2024,118.89999999999999
Єгипет,"Розділ VІІІ Шкури необроблені, шкіра вичинена, натуральне та штучне хутро та вироби з них; шорно-сідельні вироби та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин","VIII. Шкури, хутро, шкіряні вироби",2016,33.5
Єгипет,"Розділ VІІІ Шкури необроблені, шкіра вичинена, натуральне та штучне хутро та вироби з них; шорно-сідельні вироби та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин","VIII. Шкури, хутро, шкіряні вироби",2017,0.0
